=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-27 23:09
Total symbols analyzed: 74
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KONEX TOP 100 ---
  1. 299480 (지앤이헬스케어): +7.25%
  2. 199290 (바이오프로테크): +5.95%
  3. 122830 (원포유): +3.64%
  4. 270210 (에스알바이오텍): +3.03%
  5. 311960 (인터로이드): +2.61%
  6. 266470 (바이오인프라생명과학): +2.04%
  7. 354390 (바스칸바이오제약): +1.92%
  8. 217910 (에스제이켐): +1.81%
  9. 236340 (메디젠휴먼케어): +1.73%
  10. 116100 (태양기계): +1.63%
  11. 260870 (SK시그넷): +1.57%
  12. 189350 (코셋): +1.41%
  13. 206950 (볼빅): +1.36%
  14. 102950 (아하): +1.18%
  15. 456570 (아이엠지티): +0.95%
  16. 434190 (탈로스): +0.94%
  17. 278990 (EMB): +0.80%
  18. 199150 (데이터스트림즈): +0.71%
  19. 317860 (노드메이슨): +0.60%
  20. 162120 (루켄테크놀러지스): +0.53%
  21. 112190 (KC산업): +0.50%
  22. 178600 (대동고려삼): +0.47%
  23. 250030 (진코스텍): +0.46%
  24. 331660 (한국미라클피플사): +0.45%
  25. 224810 (엄지하우스): +0.45%
  26. 233990 (질경이): +0.38%
  27. 336040 (타스컴): +0.37%
  28. 202960 (판도라티비): +0.37%
  29. 402420 (켈스): +0.32%
  30. 245450 (씨앤에스링크): +0.30%
  31. 403360 (라피치): +0.24%
  32. 185190 (수프로): +0.24%
  33. 149010 (아이케이세미콘): +0.15%
  34. 243870 (아이티센코어): +0.11%
  35. 217950 (파마리서치바이오): +0.07%
  36. 289170 (바이오텐): +0.01%
  37. 215570 (크로넥스): +0.01%
  38. 254160 (제이엠멀티): +0.00%
  39. 234070 (에이원큐브텍): -0.03%
  40. 244880 (나눔테크): -0.03%
  41. 216400 (인바이츠바이오코아): -0.13%
  42. 103660 (씨앗): -0.25%
  43. 448780 (마이크로엔엑스): -0.25%
  44. 311060 (엘에이티): -0.29%
  45. 169670 (코스텍시스템): -0.31%
  46. 121060 (유니포인트): -0.37%
  47. 140610 (엔솔바이오사이언스): -0.37%
  48. 207490 (에이펙스인텍): -0.39%
