=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-27 23:44
Total symbols analyzed: 1573
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSDAQ TOP 100 ---
  1. 368600 (아이씨에이치): +10.70%
  2. 078590 (휴림에이텍): +9.68%
  3. 484810 (티엑스알로보틱스): +8.60%
  4. 018700 (졸스): +7.44%
  5. 052460 (아이크래프트): +7.40%
  6. 270520 (앱튼): +7.30%
  7. 199430 (케이엔알시스템): +6.84%
  8. 059120 (아진엑스텍): +5.94%
  9. 489460 (바이오비쥬): +5.90%
  10. 264850 (이랜시스): +5.50%
  11. 332570 (PS일렉트로닉스): +5.26%
  12. 045510 (정원엔시스): +5.15%
  13. 354200 (엔젠바이오): +5.09%
  14. 065690 (파커스): +4.87%
  15. 044340 (위닉스): +4.86%
  16. 119850 (지엔씨에너지): +4.76%
  17. 227610 (아우딘퓨쳐스): +4.65%
  18. 405000 (플라즈맵): +4.64%
  19. 301300 (바이브컴퍼니): +4.48%
  20. 317240 (TS트릴리온): +4.47%
  21. 419080 (엔젯): +4.42%
  22. 099440 (스맥): +4.29%
  23. 413630 (씨피시스템): +4.19%
  24. 455180 (케이지에이): +4.17%
  25. 208640 (썸에이지): +4.14%
  26. 900100 (파이온엑스): +4.02%
  27. 240600 (유진테크놀로지): +4.01%
  28. 270660 (에브리봇): +3.75%
  29. 053350 (이니텍): +3.70%
  30. 900290 (GRT): +3.69%
  31. 417860 (오브젠): +3.62%
  32. 079940 (가비아): +3.45%
  33. 481070 (에이유브랜즈): +3.44%
  34. 104040 (디에스엠): +3.43%
  35. 115610 (이미지스): +3.39%
  36. 300080 (플리토): +3.38%
  37. 246710 (티앤알바이오팹): +3.37%
  38. 066590 (스모트로닉): +3.36%
  39. 176750 (듀켐바이오): +3.36%
  40. 144960 (뉴파워프라즈마): +3.33%
  41. 402030 (코난테크놀로지): +3.31%
  42. 399720 (가온칩스): +3.28%
  43. 108860 (셀바스AI): +3.28%
  44. 117670 (알파칩스): +3.26%
  45. 372800 (아이티아이즈): +3.14%
  46. 457600 (벡트): +3.08%
  47. 377450 (리파인): +3.07%
  48. 333430 (일승): +3.07%
  49. 171090 (선익시스템): +3.04%
  50. 322780 (코퍼스코리아): +3.03%
  51. 420570 (제이투케이바이오): +2.97%
  52. 448900 (한국피아이엠): +2.93%
  53. 463020 (뉴엔AI): +2.88%
  54. 460870 (에스엠씨지): +2.85%
  55. 013990 (아가방컴퍼니): +2.85%
  56. 039980 (폴라리스AI): +2.84%
  57. 053290 (NE능률): +2.82%
  58. 194480 (데브시스터즈): +2.79%
  59. 050090 (비케이홀딩스): +2.78%
  60. 310200 (애니플러스): +2.76%
  61. 093320 (케이아이엔엑스): +2.76%
  62. 304100 (솔트룩스): +2.75%
  63. 068790 (DMS): +2.70%
  64. 396300 (세아메카닉스): +2.62%
  65. 060370 (LS마린솔루션): +2.61%
  66. 340570 (티앤엘): +2.59%
  67. 121440 (골프존홀딩스): +2.54%
  68. 076610 (해성옵틱스): +2.52%
  69. 099190 (아이센스): +2.50%
