=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-28 00:46
Total symbols analyzed: 898
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSPI TOP 100 ---
  1. 317400 (자이에스앤디): +7.43%
  2. 010400 (우진아이엔에스): +5.52%
  3. 006340 (대원전선): +4.93%
  4. 357430 (마스턴프리미어리츠): +3.58%
  5. 078930 (GS): +2.99%
  6. 071970 (HD현대마린엔진): +2.97%
  7. 089860 (롯데렌탈): +2.88%
  8. 298000 (효성화학): +2.70%
  9. 308170 (씨티알모빌리티): +2.60%
  10. 028050 (삼성E&A): +2.60%
  11. 035420 (NAVER): +2.53%
  12. 181710 (NHN): +2.49%
  13. 192820 (코스맥스): +2.44%
  14. 008930 (한미사이언스): +2.44%
  15. 009460 (한창제지): +2.43%
  16. 002810 (삼영무역): +2.32%
  17. 002390 (한독): +2.28%
  18. 006370 (대구백화점): +2.22%
  19. 004430 (송원산업): +2.20%
  20. 090080 (평화산업): +2.19%
  21. 018260 (삼성에스디에스): +2.18%
  22. 014130 (한익스프레스): +2.17%
  23. 483650 (달바글로벌): +2.17%
  24. 006360 (GS건설): +2.16%
  25. 352820 (하이브): +2.16%
  26. 002870 (신풍): +2.14%
  27. 138040 (메리츠금융지주): +2.11%
  28. 011230 (삼화전자): +2.10%
  29. 009240 (한샘): +2.04%
  30. 207940 (삼성바이오로직스): +2.00%
  31. 005950 (이수화학): +2.00%
  32. 259960 (크래프톤): +1.99%
  33. 267270 (HD건설기계): +1.99%
  34. 090435 (아모레퍼시픽우): +1.97%
  35. 016590 (신대양제지): +1.97%
  36. 053690 (한미글로벌): +1.96%
  37. 322000 (HD현대에너지솔루션): +1.95%
  38. 175330 (JB금융지주): +1.93%
  39. 377300 (카카오페이): +1.93%
  40. 480370 (씨케이솔루션): +1.92%
  41. 031820 (아이티센씨티에스): +1.90%
  42. 005090 (SGC에너지): +1.90%
  43. 009160 (SIMPAC): +1.90%
