=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-29 09:22
Total symbols analyzed: 74
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KONEX TOP 100 ---
  1. 299480 (지앤이헬스케어): +9.35%
  2. 216400 (인바이츠바이오코아): +6.04%
  3. 227420 (도부): +4.63%
  4. 199290 (바이오프로테크): +3.75%
  5. 236340 (메디젠휴먼케어): +3.13%
  6. 260870 (SK시그넷): +3.03%
  7. 122830 (원포유): +2.34%
  8. 191600 (블루탑): +2.13%
  9. 162120 (루켄테크놀러지스): +1.98%
  10. 456570 (아이엠지티): +1.98%
  11. 311960 (인터로이드): +1.95%
  12. 189350 (코셋): +1.66%
  13. 413300 (티엘엔지니어링): +1.63%
  14. 121060 (유니포인트): +1.24%
  15. 270210 (에스알바이오텍): +1.08%
  16. 176590 (코나솔): +1.03%
  17. 169670 (코스텍시스템): +0.74%
  18. 447690 (아이오바이오): +0.63%
  19. 254160 (제이엠멀티): +0.56%
  20. 402420 (켈스): +0.29%
  21. 208850 (이비테크): +0.28%
  22. 331660 (한국미라클피플사): +0.27%
  23. 341170 (퓨쳐메디신): +0.23%
  24. 244880 (나눔테크): +0.20%
  25. 250030 (진코스텍): +0.15%
  26. 217950 (파마리서치바이오): +0.13%
  27. 178600 (대동고려삼): +0.12%
  28. 206950 (볼빅): +0.08%
  29. 217880 (틸론): +0.06%
  30. 243870 (아이티센코어): +0.04%
  31. 180060 (탑선): +0.01%
  32. 245450 (씨앤에스링크): +0.00%
  33. 233990 (질경이): -0.04%
  34. 318660 (타임기술): -0.07%
  35. 103660 (씨앗): -0.12%
  36. 234070 (에이원큐브텍): -0.13%
  37. 448780 (마이크로엔엑스): -0.17%
  38. 102950 (아하): -0.28%
  39. 112190 (KC산업): -0.30%
  40. 253610 (루트락): -0.35%
  41. 434190 (탈로스): -0.36%
  42. 217910 (에스제이켐): -0.37%
  43. 446440 (에피바이오텍): -0.39%
  44. 052960 (태양3C): -0.43%
  45. 076340 (지에이이노더스): -0.45%
  46. 200580 (메디쎄이): -0.54%
  47. 337840 (유엑스엔): -0.60%
  48. 311060 (엘에이티): -0.63%
  49. 322970 (무진메디): -0.67%
