=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-29 09:57
Total symbols analyzed: 1573
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSDAQ TOP 100 ---
  1. 368600 (아이씨에이치): +17.89%
  2. 199430 (케이엔알시스템): +7.44%
  3. 299660 (셀리드): +7.41%
  4. 463020 (뉴엔AI): +6.70%
  5. 052460 (아이크래프트): +5.60%
  6. 199730 (바이오인프라): +5.39%
  7. 900100 (파이온엑스): +5.11%
  8. 417860 (오브젠): +5.05%
  9. 044340 (위닉스): +4.81%
  10. 227610 (아우딘퓨쳐스): +4.44%
  11. 489460 (바이오비쥬): +4.08%
  12. 413630 (씨피시스템): +4.04%
  13. 018700 (졸스): +3.68%
  14. 317240 (TS트릴리온): +3.61%
  15. 396300 (세아메카닉스): +3.31%
  16. 363250 (진시스템): +3.27%
  17. 301300 (바이브컴퍼니): +3.19%
  18. 091970 (LSK아이로봇): +3.19%
  19. 900290 (GRT): +3.17%
  20. 078590 (휴림에이텍): +3.04%
  21. 108860 (셀바스AI): +2.98%
  22. 032790 (엠젠솔루션): +2.97%
  23. 332570 (PS일렉트로닉스): +2.91%
  24. 372800 (아이티아이즈): +2.91%
  25. 053350 (이니텍): +2.86%
  26. 484810 (티엑스알로보틱스): +2.85%
  27. 059120 (아진엑스텍): +2.78%
  28. 377480 (마음AI): +2.65%
  29. 246710 (티앤알바이오팹): +2.65%
  30. 045510 (정원엔시스): +2.61%
  31. 377330 (이지트로닉스): +2.60%
  32. 460930 (현대힘스): +2.60%
  33. 039980 (폴라리스AI): +2.60%
  34. 193250 (링크드): +2.59%
  35. 079940 (가비아): +2.56%
  36. 208640 (썸에이지): +2.51%
  37. 455180 (케이지에이): +2.49%
  38. 104040 (디에스엠): +2.48%
  39. 460870 (에스엠씨지): +2.42%
  40. 424760 (벨로크): +2.41%
  41. 235980 (메드팩토): +2.40%
  42. 093320 (케이아이엔엑스): +2.24%
  43. 333430 (일승): +2.22%
  44. 270520 (앱튼): +2.22%
  45. 114450 (그린생명과학): +2.19%
  46. 290520 (신도기연): +2.16%
  47. 290720 (푸드나무): +2.13%
  48. 087010 (펩트론): +2.11%
  49. 317770 (엑스페릭스): +2.05%
  50. 455900 (엔젤로보틱스): +2.04%
  51. 033050 (제이엠아이): +1.94%
  52. 247660 (나노씨엠에스): +1.91%
  53. 310200 (애니플러스): +1.90%
  54. 402030 (코난테크놀로지): +1.86%
  55. 054920 (한컴위드): +1.83%
  56. 328380 (솔트웨어): +1.80%
  57. 013990 (아가방컴퍼니): +1.77%
  58. 419080 (엔젯): +1.74%
  59. 405000 (플라즈맵): +1.73%
  60. 099440 (스맥): +1.73%
  61. 086710 (선진뷰티사이언스): +1.69%
  62. 331520 (밸로프): +1.69%
  63. 264850 (이랜시스): +1.61%
  64. 098660 (에스티오): +1.60%
  65. 309930 (조이웍스앤코): +1.60%
  66. 009620 (삼보산업): +1.60%
  67. 036630 (세종텔레콤): +1.57%
  68. 331380 (포커스에이아이): +1.56%
  69. 093380 (풍강): +1.50%
