=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-29 09:36
Total symbols analyzed: 898
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSPI TOP 100 ---
  1. 012160 (영흥): +3.11%
  2. 006340 (대원전선): +3.06%
  3. 002785 (진흥기업우B): +3.05%
  4. 002787 (진흥기업2우B): +2.32%
  5. 192820 (코스맥스): +2.22%
  6. 308170 (씨티알모빌리티): +2.22%
  7. 078930 (GS): +2.06%
  8. 011090 (에넥스): +1.93%
  9. 002810 (삼영무역): +1.93%
  10. 298000 (효성화학): +1.84%
  11. 089860 (롯데렌탈): +1.84%
  12. 010400 (우진아이엔에스): +1.81%
  13. 002070 (비비안): +1.69%
  14. 009970 (영원무역홀딩스): +1.69%
  15. 483650 (달바글로벌): +1.63%
  16. 000640 (동아쏘시오홀딩스): +1.61%
  17. 011300 (우성머티리얼스): +1.57%
  18. 008355 (남선알미우): +1.56%
  19. 014130 (한익스프레스): +1.56%
  20. 004370 (농심): +1.55%
  21. 051900 (LG생활건강): +1.49%
  22. 026890 (스틱인베스트먼트): +1.46%
  23. 207940 (삼성바이오로직스): +1.45%
  24. 090080 (평화산업): +1.43%
  25. 018470 (조일알미늄): +1.42%
  26. 002390 (한독): +1.42%
  27. 357430 (마스턴프리미어리츠): +1.40%
  28. 079160 (CJ CGV): +1.37%
  29. 010640 (진양폴리): +1.36%
  30. 008700 (아남전자): +1.36%
  31. 002870 (신풍): +1.36%
  32. 028100 (동아지질): +1.35%
  33. 002030 (아세아): +1.33%
  34. 009460 (한창제지): +1.29%
  35. 009240 (한샘): +1.24%
  36. 111770 (영원무역): +1.23%
  37. 069620 (대웅제약): +1.20%
  38. 006840 (AK홀딩스): +1.19%
  39. 024070 (WISCOM): +1.14%
  40. 006740 (블루산업개발): +1.11%
  41. 090430 (아모레퍼시픽): +1.10%
  42. 044820 (코스맥스비티아이): +1.10%
  43. 138040 (메리츠금융지주): +1.10%
